id,produit,nom,premier_mot,genre,nombre,dernière lettre
750,46,Bodyboard,Bodyboard,masculin,singulier,d
116,50,"Bois imprégné, souillé ou dangereux",Bois,masculin,singulier,s
507,49,Bois de construction et de démolition,Bois,masculin,singulier,s
747,51,Bois lamellé-collé (BLC),Bois,masculin,singulier,s
748,48,Bois de chauffage,Bois,masculin,singulier,s
1635,47,Bois contaminé (termites),Bois,masculin,singulier,s
260,244,Boite et scie à onglet,Boite,féminin,singulier,e
1716,225,Boite de rangement,Boite,féminin,singulier,e
1032,54,Boîte à pizza,Boîte,féminin,singulier,e
1033,53,Boîte à oeufs en plastique,Boîte,féminin,singulier,e
1034,57,Boîte de médicament en carton (vide),Boîte,féminin,singulier,e
1137,52,Boîte à fromage en carton,Boîte,féminin,singulier,e
1140,52,Boîte à oeufs en carton,Boîte,féminin,singulier,e
1189,55,Boîte d'allumettes,Boîte,féminin,pluriel,e
1213,396,Boîte à fromage en bois,Boîte,féminin,singulier,e
1223,58,"Boîte en métal (thé, café, biscuits...)",Boîte,féminin,singulier,e
1234,56,Boîte de conserve (vide),Boîte,féminin,singulier,e
1244,59,Boîte à fromage en plastique,Boîte,masculin,singulier,e
1247,59,"Boîte en plastique (alimentaire, emballage...)",Boîte,féminin,singulier,e
1271,433,Boîte de cirage,Boîte,féminin,singulier,e
1252,355,Bol,Bol,masculin,singulier,l
1621,21,Bombe lacrymogène,Bombe,féminin,singulier,e
1924,60,Bombe aérosol (vide),Bombe,féminin,singulier,e
1135,70,Bonbonne de gaz (pour cuisson),Bonbonne,féminin,singulier,e
53,364,Bonnet,Bonnet,masculin,singulier,t
1575,369,Bonnet de bain,Bonnet,masculin,singulier,t
1577,369,Boomerang,Boomerang,masculin,singulier,g
1442,96,Boots,Boots,féminin,pluriel,s
1520,372,Boots de snowboard,Boots,féminin,pluriel,s
261,244,Bordure,Bordure,féminin,singulier,e
480,61,Bottes de pluie,Bottes,féminin,singulier,s
481,61,Bottes de pêche,Bottes,féminin,singulier,s
482,61,Bottes en caoutchouc,Bottes,féminin,singulier,s
1431,96,Bottes,Bottes,féminin,pluriel,s
1432,96,Bottines,Bottines,féminin,pluriel,s
262,244,Bouchon anti-bruit,bouchon,masculin,singulier,n
1945,62,Bouchon en liège,Bouchon,masculin,singulier,n
476,63,Bouchons en plastique,Bouchons,masculin,pluriel,s
746,62,Bouchons en liège,Bouchons,masculin,pluriel,s
1580,369,Bouclier (Pad) de boxe,Bouclier,masculin,singulier,r
618,373,"Bouée, planche, matériel d'aide à la flottaison","Bouée,",féminin,singulier,","
744,64,Bougie,Bougie,féminin,singulier,e
745,64,Bougie en cire,Bougie,féminin,singulier,e
741,65,Bougies de moteur,Bougies,féminin,pluriel,s
13,265,Bouilloire,Bouilloire,féminin,singulier,e
1080,370,Boule de billard,Boule,féminin,singulier,e
1081,370,Boule de pétanque,Boule,féminin,singulier,e
1826,225,Bout de canapé,Bout,masculin,singulier,t
147,449,Bouteille de protoxyde d'azote,Bouteille,féminin,singulier,e
149,449,Bouteille de gaz hilarant,Bouteille,féminin,singulier,e
477,66,Bouteille d'eau (en plastique),Bouteille,féminin,singulier,e
478,66,Bouteille en plastique (et bouchon),Bouteille,féminin,singulier,e
740,67,Bouteille de plongée,Bouteille,féminin,singulier,e
1035,68,Bouteille en métal (sirop),Bouteille,féminin,singulier,e
1136,70,Bouteille de gaz (pour cuisson),Bouteille,féminin,singulier,e
1254,432,Bouteille consignée,Bouteille,féminin,singulier,e
1257,432,Bouteille réemployable,Bouteille,féminin,singulier,e
1917,411,Bouteille d'huile,Bouteille,féminin,singulier,e
1935,69,Bouteille d'eau (en verre),Bouteille,féminin,singulier,e
1936,69,Bouteille de sirop de médicament en verre (vide),Bouteille,féminin,singulier,e
1937,69,"Bouteille en verre (bière, cidre, eau, lait, jus, vin...)",Bouteille,féminin,singulier,e
1145,423,Bouton de tringle à rideau,Bouton,masculin,singulier,n
1740,225,Bouton de meuble,Bouton,masculin,singulier,n
1408,220,Box internet,Box,féminin,singulier,x
64,364,Boxer,Boxer,masculin,singulier,r
1933,23,Bracelet en cuir,Bracelet,masculin,singulier,t
1940,452,brancard,brancard,masculin,singulier,d
739,71,Branchages,Branchages,masculin,pluriel,s
738,71,Branches,Branches,féminin,pluriel,s
1910,225,Bras-perroquet,Bras-perroquet,masculin,singulier,t
